,Top1,Top2,Top3,Top4,Top5
1,10,8,2,1,3
2,1,2,6,9,10
3,4,6,8,9,3
4,7,6,5,1,2
5,1,6,5,9,3
6,3,7,9,5,8
7,4,1,3,8,7
8,2,4,3,6,10
9,5,10,9,8,2
10,1,3,9,7,10
